,Orders,Avg_Size,IS_Total,Delay_Cost,Execution_Cost,Opportunity_Cost,Fixed_Cost,Arrival_Cost_bp,VWAP_Slip_bp,Value_Add_bp,Z_Score
All Brokers,5010,0.045862141460301806,4103914719.9999995,45115372.999999955,1188137157.9999995,73670259.99999997,17179037.0,160.72255798139955,8.93232368837832,-129.35740485476873,-1.4294442819317328
Broker A,1005,0.04669615176342828,699209509.9999999,5928493.9999998985,189968509.0000002,10416114.999999996,3412434.0,162.5341791589084,14.17469873030374,-130.66380211539214,-1.4824329121333522
Broker B,1026,0.04586942283497274,1040733799.9999998,-274838.000000374,13134847.99999978,6422002.000000004,4109488.0,164.32956529927685,6.8639864307073495,-133.24018585995705,-1.5539153506163093
Broker C,966,0.045767231264076336,787792965.9999998,7861147.999999987,251191335.99999976,26733787.000000004,3136177.0,163.60558456540556,1.6998500328867372,-132.1342117838396,-1.4463546115460792
Broker D,1001,0.044705966377110655,639063109.0,15877479.000000104,230801719.00000006,20211587.99999998,2780815.0,156.7020673584533,6.854142452239452,-125.84228220205269,-1.3687531576908325
Broker E,1012,0.046260721957113754,937115335.0,15723090.00000035,503040745.9999995,9886767.999999996,3740123.0,156.4913708686336,14.782477915468483,-124.94987493741358,-1.2945189332505855
