Broker,Orders,Avg_Size,IS_Total,Delay_Cost,Execution_Cost,Opportunity_Cost,Fixed_Cost,Arrival_bp,VWAP_Slip_bp,Value_Add_bp,Z_Score
Broker A,1005,0.04666248559603293,699105194.9999999,23436597.999999948,659127412.9999999,13128722.999999998,3412461.0,162.5341791589084,14.17469873030374,-162.0618688319502,-1.823919295351058
Broker B,1026,0.045859625362712216,1040730061.9999998,24877885.99999951,996399348.0000002,15343348.99999999,4109479.0,164.32956529927685,6.8639864307073495,-163.87502611950612,-inf
Broker C,966,0.04575406797442122,787819254.9999998,23372495.999999806,729022425.0,32288145.000000004,3136189.0,163.60558456540556,1.6998500328867372,-163.1377206993002,-1.7856889319774294
Broker D,1001,0.04469753672249724,639029295.0,27006694.99999987,585242196.0000001,23999569.999999978,2780834.0,156.7020673584533,6.854142452239452,-156.2426835268505,-1.6997113620606203
Broker E,1012,0.04621122729595847,937119347.0,31465691.000000387,889197437.9999996,12716104.999999996,3740113.0,156.4913708686336,14.782477915468483,-156.02752610943006,inf
